0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:13 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:15 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:15 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:16 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:16 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:56 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:46:56 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:10 +0900] "GET /spring/member/writeForm HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:10 +0900] "GET /spring/js/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:15 +0900] "GET /spring/member/loginForm HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:18 +0900] "GET /spring/board/boardList HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:18 +0900] "GET /spring/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:18 +0900] "GET /spring/js/boardList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:20 +0900] "GET /spring/member/loginForm HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:47:22 +0900] "POST /spring/board/getBoardList HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:56:18 +0900] "GET /spring/member/writeForm HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:56:19 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 200 21706
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:56:22 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [16/Jan/2021:22:56:22 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:23:01:46 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [16/Jan/2021:23:01:46 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2021:23:01:47 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1837
