127.0.0.1 - - [17/Jan/2021:16:12:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:46 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:46 +0900] "GET /spring/image/image01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:46 +0900] "GET /spring/image/apple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:46 +0900] "GET /spring/image/mainImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:53 +0900] "GET /spring/board/boardList HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:53 +0900] "GET /spring/image/image01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:53 +0900] "GET /spring/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:54 +0900] "GET /spring/js/boardList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:12:59 +0900] "POST /spring/board/getBoardList HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:13:54 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:13:54 +0900] "GET /spring/image/image01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:04 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:04 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:04 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:11 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:11 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:11 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:11 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:12 +0900] "GET /spring/image/mainImageBtn.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:28 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:28 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:29 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:29 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:30 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:30 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:30 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:30 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:22:31 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:25:36 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:25:36 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:25:37 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:25:37 +0900] "GET /spring/image/mainImageBtn.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Jan/2021:16:25:38 +0900] "GET /spring/index.jsp HTTP/1.1" 200 1852
